32:18:03:74:FE:72;192.168.137.167;iPhone;1781705051
34:3A:20:CF:C1:AA;192.168.10.124;;1782441741
4E:EC:0C:6B:86:24;192.168.137.84;Device 192.168.137.84;1781705057
C2:04:BC:D3:5C:80;192.168.137.92;Device 192.168.137.92;1781699514
CE:4F:2F:5D:26:27;192.168.137.13;Device 192.168.137.13;1781705011
4E:1E:6E:38:8E:95;192.168.137.144;Device 192.168.137.144;1781704981
A6:86:54:99:0B:86;192.168.137.74;Device 192.168.137.74;1781705051
8E:77:AF:35:44:DF;192.168.137.48;Device 192.168.137.48;1781705057
DE:B0:21:3E:A4:EB;192.168.137.246;Device 192.168.137.246;1781695051
16:E4:D3:9E:F5:47;192.168.137.236;Device 192.168.137.236;1781698582
62:D0:54:0C:03:27;192.168.137.11;iPhone;1781688300
E6:8C:EC:D9:EB:49;192.168.137.29;Device 192.168.137.29;1781705033
06:9C:97:C4:11:3C;192.168.137.98;Device 192.168.137.98;1781688342
46:CD:4D:47:1E:07;192.168.137.227;Device 192.168.137.227;1781704943
62:5C:CF:19:6C:41;192.168.137.83;Device 192.168.137.83;1781700755
1E:5D:5B:2F:A9:48;192.168.137.193;Device 192.168.137.193;1781700998
96:B1:2C:08:24:4C;192.168.137.124;Device 192.168.137.124;1781700223
D6:B4:4F:EC:EE:F8;192.168.137.231;Device 192.168.137.231;1781696575
5E:78:C3:88:9D:6B;192.168.137.172;Device 192.168.137.172;1781700236
16:A3:BB:18:65:10;192.168.137.12;iPhone;1781688376
5E:BD:2D:4F:D0:11;192.168.137.132;Device 192.168.137.132;1781701556
FA:99:7B:C4:BE:49;192.168.137.14;Device 192.168.137.14;1781693347
86:F9:F3:5D:58:94;192.168.137.242;Device 192.168.137.242;1781705044
CE:72:A9:4D:C6:1C;192.168.137.15;Device 192.168.137.15;1781700955
EA:E3:A0:4E:F5:2C;192.168.137.151;Device 192.168.137.151;1781691080
52:75:FE:15:2F:6F;192.168.137.232;Device 192.168.137.232;1781689939
9E:43:30:2A:59:CA;192.168.137.103;iPhone;1781699525
E6:60:80:5B:FF:DD;192.168.137.150;Device 192.168.137.150;1781698619
62:1F:AD:01:67:DC;192.168.137.154;Device 192.168.137.154;1781700147
42:F5:13:27:CF:34;192.168.137.158;Device 192.168.137.158;1781704993
F6:7A:B9:31:3B:06;192.168.137.16;iPhone;1781700995
C2:12:01:A2:2C:70;192.168.137.146;Device 192.168.137.146;1781695480
5E:3D:AC:D6:33:28;192.168.137.45;Device 192.168.137.45;1781696240
66:56:4D:28:B5:B8;192.168.137.17;Device 192.168.137.17;1781700675
52:89:78:A7:62:4C;192.168.137.201;Device 192.168.137.201;1781705050
DE:B2:58:00:20:14;192.168.137.35;Device 192.168.137.35;1781699921
2A:25:24:2F:03:AE;192.168.137.61;Device 192.168.137.61;1781698594
F6:9C:A3:27:B1:C4;192.168.137.85;Device 192.168.137.85;1781696219
BA:82:A0:C3:AE:B6;192.168.137.128;Device 192.168.137.128;1781696223
BE:CC:01:8F:53:8A;192.168.137.212;Device 192.168.137.212;1781700669
46:CA:CF:EE:12:63;192.168.137.18;Device 192.168.137.18;1781701492
46:5E:AE:85:52:1F;192.168.137.19;Device 192.168.137.19;1781701473
02:81:21:03:69:A2;192.168.137.20;Device 192.168.137.20;1781701551
DE:11:2B:3D:3F:68;192.168.137.21;Device 192.168.137.21;1781701560
DE:E1:60:E9:0C:42;192.168.137.22;Device 192.168.137.22;1781701447
52:41:53:20:B0:82:E2:07:E5:1A:00:00:00:00:00:00;192.168.137.23;Admin-PC;1781703217
00:15:5D:30:FD:43;192.168.10.100;Admin-PC;1782370326
DA:37:49:49:D2:84;192.168.10.101;;1782368743
8A:72:36:CB:BF:E8;192.168.10.102;;1782368758
9E:48:3B:6E:E3:0F;192.168.10.103;;1782368736
36:00:9F:B0:E5:F6;192.168.10.104;iPhone;1782370227
A6:FA:EA:6A:EA:81;192.168.10.105;;1782368734
B6:2A:34:84:B6:BE;192.168.10.106;iPhone;1782370257
02:99:0E:07:3A:A2;192.168.10.107;iPhone;1782367805
22:0B:10:F8:CB:79;192.168.10.108;;1782368736
52:41:53:20:00:00:00:00:00:00:00:00:00:00:00:00;192.168.10.109;Admin-PC;1782369723
32:4B:57:7C:21:9C;192.168.10.110;;1782384083
FA:96:64:0C:3B:BA;192.168.10.111;;1782368669
86:58:28:62:E7:31;192.168.10.112;;1782368763
B6:34:D6:87:F2:21;192.168.10.113;;1782368718
B6:35:72:FF:AA:51;192.168.10.114;;1782368754
16:A5:60:A8:EF:4E;192.168.10.115;;1782368758
CE:7B:5F:8F:0C:DC;192.168.10.116;iPhone;1782383316
FA:7B:20:52:62:9E;192.168.10.117;iPhone;1782370262
B6:4A:F8:F6:C5:78;192.168.10.118;iPhone;1782370312
4E:F7:6F:BC:51:7D;192.168.10.119;iPhone;1782441761
26:87:3E:B3:B5:D6;192.168.10.120;;1782382755
46:B2:A5:61:30:02;192.168.10.121;;1782382769
6A:A7:D2:79:AD:25;192.168.10.122;;1782395896
F2:8A:71:F7:18:77;192.168.10.123;iPhone;1782383314
D2:45:51:9D:EB:2D;192.168.10.125;;1782396177
22:27:49:20:C6:51;192.168.10.126;iPhone;1782396698
